From,To,Type,Label,Id
spec,section-001-symphony-service-specification,contains,contains,spec->section-001-symphony-service-specification:contains
section-001-symphony-service-specification,section-002-normative-language,contains,contains,section-001-symphony-service-specification->section-002-normative-language:contains
section-001-symphony-service-specification,section-003-1-problem-statement,contains,contains,section-001-symphony-service-specification->section-003-1-problem-statement:contains
section-001-symphony-service-specification,section-004-2-goals-and-non-goals,contains,contains,section-001-symphony-service-specification->section-004-2-goals-and-non-goals:contains
section-004-2-goals-and-non-goals,section-005-2-1-goals,contains,contains,section-004-2-goals-and-non-goals->section-005-2-1-goals:contains
section-004-2-goals-and-non-goals,section-006-2-2-non-goals,contains,contains,section-004-2-goals-and-non-goals->section-006-2-2-non-goals:contains
section-001-symphony-service-specification,section-007-3-system-overview,contains,contains,section-001-symphony-service-specification->section-007-3-system-overview:contains
section-007-3-system-overview,section-008-3-1-main-components,contains,contains,section-007-3-system-overview->section-008-3-1-main-components:contains
section-007-3-system-overview,section-009-3-2-abstraction-levels,contains,contains,section-007-3-system-overview->section-009-3-2-abstraction-levels:contains
section-007-3-system-overview,section-010-3-3-external-dependencies,contains,contains,section-007-3-system-overview->section-010-3-3-external-dependencies:contains
section-001-symphony-service-specification,section-011-4-core-domain-model,contains,contains,section-001-symphony-service-specification->section-011-4-core-domain-model:contains
section-011-4-core-domain-model,section-012-4-1-entities,contains,contains,section-011-4-core-domain-model->section-012-4-1-entities:contains
section-012-4-1-entities,section-013-4-1-1-issue,contains,contains,section-012-4-1-entities->section-013-4-1-1-issue:contains
section-012-4-1-entities,section-014-4-1-2-workflow-definition,contains,contains,section-012-4-1-entities->section-014-4-1-2-workflow-definition:contains
section-012-4-1-entities,section-015-4-1-3-service-config-typed-view,contains,contains,section-012-4-1-entities->section-015-4-1-3-service-config-typed-view:contains
section-012-4-1-entities,section-016-4-1-4-workspace,contains,contains,section-012-4-1-entities->section-016-4-1-4-workspace:contains
section-012-4-1-entities,section-017-4-1-5-run-attempt,contains,contains,section-012-4-1-entities->section-017-4-1-5-run-attempt:contains
